,V1,V2,V3,V4
4416,2.035,0.473,1.939,1.665
4193,1.529,0.751,1.592,0.724
1333,,0.425,3.083,
4861,0.792,,2.359,0.959
2854,0.803,0.552,2.403,1.181
186,,0.49,2.425,1.345
1136,,0.525,1.862,0.582
2058,0.857,0.64,3.041,
4579,0.826,0.577,1.679,1.287
148,1.454,0.715,1.403,0.757
4124,1.279,0.541,1.743,
3363,1.544,,1.615,0.705
2866,,0.541,2.865,0.568
3776,,0.629,1.49,0.801
1386,1.362,0.467,1.82,
5160,,0.516,2.59,1.37
4523,0.766,0.826,1.322,0.823
3629,0.813,0.885,1.229,2.649
4916,2.467,0.559,2.186,1.046
3028,1.306,0.533,1.695,0.928
2969,0.964,0.501,,1.224
4749,,0.464,1.776,0.569
1708,1.327,0.889,1.62,2.082
2953,,0.52,3.165,1.192
454,1.682,0.483,1.865,1.106
609,0.507,0.452,3.254,1.384
4263,,0.443,2.646,1.416
4633,0.879,0.838,1.321,0.528
2074,1.461,0.646,2.321,
4052,0.766,0.478,1.782,1.079
4443,,0.675,1.69,
1622,2.722,0.583,1.695,0.966
4789,1.105,0.594,,0.947
40,1.581,0.471,1.662,0.506
2089,0.664,0.702,2.972,
3924,1.066,0.767,2.913,5.0
2175,0.914,0.74,2.669,0.871
74,,0.525,2.766,0.807
4375,2.471,0.496,1.801,1.237
5377,0.827,0.908,0.895,2.601
2657,1.411,0.729,1.592,2.11
3180,2.695,0.372,2.145,0.915
2076,1.462,0.644,2.268,
441,0.77,,1.76,1.141
2051,1.026,0.619,3.079,1.671
2541,2.692,0.628,1.644,0.997
1301,,0.453,,1.022
3430,0.893,,2.582,1.393
1304,1.541,0.452,1.84,
236,1.421,0.497,1.428,0.828
4556,1.005,0.684,1.821,0.969
2599,1.752,1.415,1.977,1.927
2573,2.12,0.512,1.863,1.562
3280,1.55,0.497,1.809,1.229
3186,2.625,0.68,2.727,0.964
3953,0.768,0.789,,0.966
2768,0.818,0.844,1.246,0.899
4223,1.114,0.595,3.109,
2106,1.015,0.732,,5.0
2679,1.211,1.171,1.328,2.374
2761,0.809,0.83,1.229,0.952
1387,1.352,0.469,1.817,0.851
5122,1.429,,2.878,0.827
4941,2.027,0.54,2.161,0.844
1279,1.9,,1.932,
5344,1.132,1.601,1.261,2.299
1555,5.0,0.476,1.387,0.458
3190,2.586,0.469,,
5117,1.511,0.74,1.587,0.746
3594,1.182,0.843,,2.396
1920,1.558,,,0.619
513,0.904,,1.572,
4177,0.776,0.794,1.524,
1308,1.54,0.452,1.839,1.025
914,0.816,0.613,1.729,1.17
3452,0.878,0.446,1.4,0.463
3695,0.784,0.602,1.627,
4242,,0.482,0.883,1.413
3156,0.937,0.35,2.655,0.855
2198,1.433,0.634,2.053,1.041
774,1.831,1.402,1.924,1.853
943,0.896,0.575,1.725,1.214
822,0.967,0.795,1.329,2.467
4277,0.844,0.412,2.676,0.456
164,1.138,0.6,1.584,1.07
3983,0.871,0.726,2.684,0.939
2538,2.744,0.647,,0.945
5208,0.844,0.453,1.439,0.432
1311,1.539,0.451,1.839,1.025
4962,1.525,0.485,1.805,1.067
4557,0.988,0.678,,
5065,0.882,0.699,1.565,1.933
3300,,0.595,1.683,1.035
3310,1.03,0.659,1.611,0.732
327,0.79,0.769,2.789,
2490,0.852,0.529,,0.429
5112,1.555,0.757,1.624,0.704
832,0.78,0.824,1.292,2.65
3079,0.593,0.778,2.898,1.89
3462,0.876,1.053,1.401,
4790,1.082,0.6,1.896,
54,1.448,0.474,2.901,0.605
4064,,0.468,2.032,1.065
3451,0.879,0.446,1.398,0.471
1901,0.944,0.777,1.336,0.451
1481,1.196,0.668,3.027,1.015
4150,0.809,0.753,1.504,0.814
3335,0.778,0.743,1.512,0.834
946,0.897,0.57,1.734,1.213
3293,1.354,0.553,1.732,0.64
2161,1.818,,2.18,0.826
4629,0.812,0.527,,0.628
3057,1.44,0.695,2.279,1.133
768,1.93,1.422,1.974,1.754
5130,1.278,0.665,2.286,0.977
3495,2.898,0.714,1.561,0.806
285,0.574,0.805,2.367,1.93
5386,,0.84,1.278,
4858,0.792,0.794,2.777,1.62
2332,1.143,,1.715,0.613
2717,0.821,1.027,0.887,2.59
2079,1.034,0.645,2.15,
3389,1.206,0.625,,1.045
722,2.604,0.597,,1.093
951,0.898,0.563,1.737,5.0
4761,1.46,0.476,1.79,
2262,1.492,0.456,1.779,1.064
989,0.881,0.692,4.735,0.511
3212,2.184,0.582,2.081,0.719
1759,0.78,0.788,1.325,3.63
4484,0.91,0.83,,2.528
4422,1.956,1.447,1.955,1.744
1724,1.128,,1.432,3.306
341,0.785,0.374,2.212,
3701,,0.59,1.64,1.328
4243,,0.481,0.904,1.412
688,3.258,0.747,1.465,0.445
3432,0.892,0.479,2.582,1.392
966,0.894,0.53,2.634,1.083
5156,0.578,,2.585,1.354
2203,1.345,0.613,2.8,0.597
2713,0.819,3.743,0.882,2.584
4814,0.684,0.74,2.949,1.673
4996,1.731,0.483,1.991,1.071
3572,1.578,1.364,1.658,
1990,,0.501,1.752,1.205
4120,1.34,0.517,1.77,0.579
4479,0.999,0.825,1.311,2.438
5173,0.838,0.493,0.903,1.413
3600,1.081,2.372,1.316,2.435
4982,1.525,,2.598,1.071
5430,1.349,0.782,1.384,0.712
4503,0.784,0.838,1.285,2.655
385,2.622,0.683,2.077,0.97
4766,,0.485,1.567,1.009
4984,1.527,0.483,,1.068
536,0.762,0.683,1.538,0.711
5089,,0.721,1.548,0.745
4212,1.323,0.673,1.384,0.929
3507,2.678,0.636,1.647,1.025
201,0.852,0.474,3.218,1.341
1332,0.741,0.426,3.082,1.037
3502,2.771,0.666,1.61,
2708,0.894,1.04,,2.516
4021,1.248,0.587,2.111,0.687
1854,0.808,0.536,1.693,1.296
4880,0.787,,,0.881
2872,0.794,0.674,1.331,0.538
3030,1.284,0.545,1.728,0.951
1205,0.878,0.914,1.988,1.575
1645,2.319,0.425,,1.364
3417,0.889,0.5,2.587,1.358
3476,3.244,0.835,1.417,
2861,0.8,0.592,2.867,0.593
1792,0.781,0.762,1.413,0.736
3797,,0.532,,1.149
3368,1.538,0.74,1.61,0.712
3367,1.539,0.741,1.608,0.711
3533,2.193,0.478,1.848,1.502
4795,0.985,0.639,1.919,1.587
3449,0.877,0.451,1.424,0.481
603,0.824,0.458,3.251,1.385
3056,1.442,0.697,2.975,1.135
4753,1.109,,1.775,0.569
126,0.787,,1.303,0.647
3876,0.963,0.64,,
2935,0.846,,,0.933
4451,1.359,0.915,,2.141
3531,,0.483,1.832,1.465
2730,0.821,0.964,0.892,2.586
827,0.869,0.808,1.309,
1639,2.415,0.457,1.834,1.272
984,0.878,0.697,1.27,0.513
3281,1.54,0.499,1.806,1.239
5421,0.808,0.825,1.368,0.736
2188,2.616,0.676,2.14,0.967
5029,1.491,0.494,1.813,1.289
2443,0.867,0.494,0.932,1.37
362,1.81,0.356,2.236,0.834
2349,0.829,0.7,1.553,0.777
345,0.785,0.372,2.137,0.894
814,1.103,0.824,1.366,2.341
3205,1.325,0.611,2.803,0.61
4540,1.339,0.735,1.919,0.787
5229,3.21,0.572,1.487,0.503
3325,0.777,0.746,1.502,0.807
4106,1.484,,1.822,1.286
2116,,0.739,2.895,1.423
1834,0.922,0.583,1.732,1.188
793,1.429,0.73,,2.129
5395,0.82,0.824,1.299,2.621
2674,1.285,1.281,1.393,2.3
94,0.864,0.652,2.499,1.172
4225,,0.58,1.139,1.172
3756,1.533,0.686,1.433,0.648
2891,0.913,0.752,1.363,0.567
2371,0.791,0.725,1.557,0.707
4529,0.766,0.784,1.337,
4841,0.997,0.78,2.892,1.602
3228,1.884,0.53,1.906,0.959
2853,0.804,0.557,1.705,5.0
2912,,0.636,1.48,0.865
1865,0.811,0.527,1.695,1.303
1857,0.809,0.533,1.695,1.299
2645,,1.443,1.615,2.085
2243,0.788,0.472,1.876,1.042
2336,1.068,0.584,1.681,1.704
950,,0.564,1.735,1.227
3068,1.056,0.706,2.967,1.17
1120,1.493,0.468,1.503,0.949
2597,1.786,1.418,1.97,
2204,,0.609,2.802,0.608
419,1.975,,2.167,0.889
922,0.917,0.585,1.72,1.194
1254,1.571,0.507,2.011,1.074
477,1.283,0.486,1.817,1.309
2035,,0.523,1.697,1.131
1202,0.922,0.909,2.154,1.815
2626,1.558,1.413,,2.055
5252,2.808,0.62,1.652,0.903
1970,1.111,0.562,1.61,1.082
3110,0.802,0.767,2.785,
4018,1.286,0.601,2.117,
2151,0.781,0.354,,0.837
3687,0.801,0.634,1.522,1.315
1997,0.809,0.499,1.764,1.435
4033,2.004,0.537,2.748,0.863
3054,1.091,0.693,2.983,1.698
1248,,0.481,2.629,1.054
2192,2.555,0.659,2.745,0.947
2712,0.833,,1.124,2.571
992,0.891,0.692,1.252,0.506
2190,2.591,0.478,2.736,0.918
3762,1.522,0.682,1.437,0.658
3597,1.131,0.86,1.336,2.326
1318,0.497,0.437,1.914,1.046
1863,0.812,0.528,1.583,1.299
2343,0.936,0.646,1.616,0.743
2449,0.866,0.488,2.58,1.373
2136,0.775,0.746,2.144,5.0
1065,0.693,,3.196,1.297
5409,,0.8,1.326,3.623
4227,1.042,0.566,1.281,1.208
2621,1.604,1.413,1.675,2.049
77,1.17,0.541,2.727,0.859
2898,0.886,0.704,1.411,0.692
1314,0.503,0.447,1.827,
4769,1.399,,1.59,1.007
872,0.831,0.761,1.441,0.769
3850,,0.494,1.868,
5221,3.298,0.811,1.448,0.414
2965,0.97,,3.176,1.218
3391,1.164,0.611,1.237,1.084
2560,2.343,0.507,1.78,1.344
5341,1.177,2.424,1.277,2.265
2635,1.426,0.718,1.63,2.072
3530,1.9,0.487,1.824,
375,1.727,0.383,,0.901
1908,1.731,0.769,1.343,0.456
4429,,1.434,1.931,1.838
4724,0.854,0.487,1.759,1.361
5085,0.789,0.728,1.539,0.757
4027,1.917,0.561,2.822,
1604,0.789,0.609,,0.821
1118,1.54,0.463,1.485,0.931
3677,0.992,0.689,1.699,1.128
3490,,0.732,1.523,
5303,,,1.947,1.996
2958,0.759,0.506,1.703,1.217
1994,0.805,0.5,1.75,1.432
5404,,0.919,1.319,3.624
4889,0.939,0.76,2.167,0.87
2376,0.781,0.752,1.584,0.694
1342,1.731,,1.813,1.028
320,0.792,0.766,2.786,1.278
1619,2.753,0.595,1.677,0.936
3713,0.781,0.577,1.976,5.0
2060,0.816,0.649,3.03,1.844
2219,1.054,0.54,2.767,0.823
1673,2.072,0.427,1.989,
260,,0.65,1.884,1.567
4823,1.041,0.772,2.915,1.091
2039,1.252,0.546,1.772,0.979
901,1.195,0.692,1.581,0.923
3744,0.925,0.736,1.381,0.527
2026,1.393,0.496,1.792,0.584
4234,0.651,0.514,0.971,
1917,0.899,0.726,1.386,0.566
1828,0.845,0.615,1.054,
1573,0.758,0.992,1.471,0.548
4415,,0.462,1.937,
4796,0.966,0.647,2.086,1.577
4208,1.397,0.7,2.97,0.855
224,1.519,0.468,1.785,0.929
723,,0.574,1.714,1.111
4898,1.742,0.742,,0.92
1141,1.284,0.564,1.744,0.628
2762,,0.827,1.232,0.951
846,0.78,0.811,1.298,3.643
4289,0.836,0.418,1.438,0.402
2551,2.512,0.564,1.715,1.176
2928,1.291,0.624,1.513,0.897
117,0.786,0.661,2.748,0.689
645,0.824,,1.604,0.438
3,1.687,0.449,2.334,
4170,0.779,0.754,1.506,0.778
467,1.559,0.478,1.85,1.212
5,,0.446,2.334,0.43
919,0.921,0.586,1.728,1.189
2595,1.822,1.424,1.962,1.856
4324,3.149,0.632,,0.559
1063,0.676,0.512,3.182,1.276
2590,,1.447,1.943,1.769
242,1.368,0.52,1.472,1.326
1160,0.917,,1.856,1.596
2870,0.817,0.703,1.333,0.544
3735,0.763,0.813,1.414,0.536
2397,1.426,0.711,2.879,0.816
3517,,0.567,1.722,1.21
3421,,0.497,3.193,1.357
2563,1.946,0.491,1.802,1.4
1605,,0.601,1.629,0.838
5263,2.631,0.568,1.715,1.08
2324,1.267,0.507,1.766,0.946
2709,0.881,1.043,,2.323
4800,0.897,0.676,2.091,1.57
1312,1.537,0.451,1.84,
3448,0.887,0.463,1.429,0.485
3812,,0.49,1.966,1.4
5076,0.796,0.727,1.534,1.461
2362,0.778,0.719,,
1975,1.03,,1.713,1.18
3514,2.547,0.587,1.7,1.154
1761,0.78,0.787,1.326,3.629
2739,0.82,0.945,1.166,2.599
5081,0.797,0.725,1.539,
2472,0.856,0.446,1.414,0.477
4007,1.5,0.65,2.586,0.994
1493,0.971,0.583,1.036,1.237
4206,1.433,0.714,2.959,0.82
2158,1.819,0.34,2.177,0.825
1169,0.794,0.782,2.03,1.966
5262,2.65,0.573,1.709,1.062
232,1.459,,1.461,1.012
66,1.33,0.498,2.836,0.701
1603,0.808,0.616,,0.803
3283,,0.504,1.798,1.261
3596,1.147,0.854,1.343,
4632,0.813,0.842,,0.537
125,0.785,0.804,1.347,0.647
1296,0.81,0.472,1.835,1.017
1976,1.009,0.536,1.717,1.2
4932,2.2,0.575,2.108,0.71
4894,0.933,0.77,2.163,
2075,1.461,,2.267,0.738
4580,0.826,0.576,,1.29
3086,0.556,0.771,2.887,1.575
4738,0.848,0.473,1.938,1.111
3345,,0.737,1.525,0.756
5349,1.067,0.938,1.241,2.284
2797,0.947,0.681,1.01,
918,0.92,0.586,,1.191
1646,2.307,0.437,1.886,1.376
4621,0.822,0.524,2.887,0.575
364,0.963,0.356,2.239,0.835
3287,1.46,0.52,1.776,0.609
2125,0.799,0.746,2.806,1.141
4123,1.298,0.534,1.751,0.595
4569,0.864,0.597,1.683,1.254
525,0.77,0.685,1.525,
55,,,2.895,0.613
638,0.825,0.408,1.449,
302,,,2.391,1.616
2766,0.808,0.979,1.234,0.902
1276,1.965,0.601,2.22,0.76
2055,0.952,0.631,3.058,1.746
4432,1.818,,1.977,
3644,0.823,0.834,,
4143,0.933,0.696,1.576,1.358
2878,1.696,0.572,1.333,0.508
4202,1.493,0.738,1.567,0.76
2286,,0.45,1.754,1.116
2261,,0.456,1.78,1.067
2296,1.547,,1.654,
1753,,0.792,1.322,2.65
1968,1.146,0.571,1.601,1.042
5294,1.874,,,1.828
3117,0.784,0.767,2.783,0.941
2393,1.483,0.723,1.556,0.759
523,0.769,0.686,,0.745
3900,,,2.96,1.556
4699,1.226,0.59,1.577,0.963
3122,,0.771,2.783,0.903
4156,0.789,,1.505,0.845
1969,1.128,0.566,1.603,1.062
671,3.335,0.422,1.421,0.368
4188,1.529,0.762,1.593,0.724
666,0.822,0.49,1.424,0.377
4730,,0.483,1.755,1.36
1887,0.793,0.486,2.916,0.523
3266,1.677,0.48,1.852,1.108
280,1.011,0.771,,1.827
1719,1.183,2.213,1.481,2.268
2947,0.781,0.552,,1.105
4455,1.304,2.192,1.517,2.186
899,1.231,0.705,1.294,0.887
5288,,0.602,1.846,
760,1.839,0.562,1.939,
1906,1.735,,,0.453
4042,1.828,0.502,1.875,1.0
3823,0.831,0.484,1.949,1.145
4138,1.024,0.651,1.622,
3818,0.828,0.489,3.211,
4300,0.839,0.428,1.442,0.384
2593,1.858,1.429,1.956,1.82
4164,,0.766,1.502,0.79
3031,1.266,0.552,1.749,0.972
3579,1.332,0.753,1.533,2.177
2832,0.807,0.58,1.649,1.313
3472,,0.851,,0.423
137,1.59,0.763,1.351,0.628
2180,2.726,0.355,2.151,0.888
2128,0.774,0.854,2.792,0.894
3177,0.886,0.726,2.157,0.906
4637,0.814,0.666,1.334,0.519
4762,1.451,0.478,1.795,0.569
4261,0.838,0.447,2.644,1.41
4344,2.828,0.607,1.666,0.879
1331,,0.426,1.793,1.038
2017,1.462,0.486,1.777,
4542,1.333,0.732,1.919,0.789
2482,0.856,0.452,1.404,0.436
1358,1.647,0.416,1.958,
1329,0.738,0.427,1.795,1.038
2150,0.778,0.356,2.655,
4530,0.766,0.78,1.342,0.795
2122,0.847,0.734,2.835,
4673,1.404,0.652,1.466,0.793
3981,0.888,0.736,2.673,0.915
1252,1.603,0.487,2.622,1.06
3278,1.571,0.494,1.816,1.213
3374,1.478,0.718,1.556,0.771
2814,0.804,0.612,1.626,1.305
4719,0.888,0.497,3.209,1.339
1848,0.821,0.551,1.695,1.284
3037,1.123,0.594,1.896,1.541
388,1.567,0.672,2.084,0.928
235,1.335,0.494,1.44,1.252
1077,0.874,0.48,,1.331
1984,0.865,0.515,1.713,1.357
4363,2.702,0.575,1.714,1.007
3962,0.773,0.384,,
770,1.897,1.413,1.981,
2165,1.817,0.341,2.18,0.827
4533,0.784,0.767,1.828,0.791
673,3.335,0.422,1.421,0.368
249,1.22,,1.625,1.007
1574,0.758,0.595,1.473,0.546
3419,0.889,0.499,3.204,1.357
2081,1.031,0.648,2.271,1.909
1823,1.084,0.648,1.149,1.032
5050,1.17,0.594,1.69,0.662
4544,1.329,0.732,1.916,0.793
716,,,1.669,0.982
4868,0.79,0.789,2.779,0.917
5092,0.783,0.727,1.554,0.729
2048,1.085,0.601,3.095,1.611
4178,0.778,0.803,1.535,0.751
2724,0.82,0.976,,2.587
4936,2.125,0.559,2.132,0.768
1460,1.461,0.78,2.925,0.75
1668,2.127,0.422,1.976,1.554
2756,0.81,0.864,1.213,2.677
2000,,0.495,,1.19
4571,0.835,0.589,1.678,1.283
4613,,0.53,2.445,1.162
404,,0.608,2.027,0.657
384,2.634,0.687,2.085,0.962
4905,,0.698,2.725,0.984
2152,0.784,0.735,2.646,0.835
1633,2.531,0.505,1.779,1.155
5001,1.729,0.483,2.054,1.076
4784,1.232,0.56,1.794,1.024
3925,1.219,0.772,2.906,5.0
4158,0.788,0.758,,0.841
223,1.528,0.466,1.802,0.921
2193,2.541,,2.107,0.959
3136,0.828,0.374,2.643,0.866
4469,1.132,2.326,1.367,2.396
1824,0.927,,,1.048
5109,1.557,0.758,1.614,0.699
797,1.323,2.177,,2.15
2871,0.833,0.572,1.33,0.54
9,0.744,0.462,,0.449
1944,1.449,0.659,1.45,0.726
1838,0.921,0.579,1.732,1.188
4804,1.497,,2.233,1.653
255,1.106,0.612,1.535,0.951
4485,0.891,0.833,1.286,
4921,,0.623,2.46,1.115
1581,,0.589,1.474,0.54
2956,,0.507,1.75,1.218
924,0.913,0.584,1.721,1.197
4838,1.02,,2.38,1.572
2508,3.27,0.828,,0.423
3775,1.385,0.632,1.48,0.794
4835,1.026,0.778,2.376,1.565
4136,1.065,,1.64,0.697
2779,1.224,,,0.882
539,0.759,0.676,1.547,0.7
2745,0.819,,1.175,3.689
5182,0.845,0.477,2.618,
4986,1.735,0.483,1.807,
1145,1.364,0.601,,0.687
4468,,1.772,1.375,3.348
667,0.825,0.937,1.425,0.372
3019,1.389,,1.595,1.265
357,1.816,0.357,2.24,
2831,0.807,0.58,1.651,1.313
2783,1.196,0.78,1.604,
1353,,0.416,,1.056
470,1.531,0.48,1.841,1.237
2703,0.957,1.033,1.124,2.452
3330,0.779,0.744,1.509,0.833
3637,0.806,0.877,,
1396,1.271,,1.787,0.567
3584,1.292,0.856,1.469,2.187
4899,1.726,,2.683,0.915
3376,1.446,,2.959,
1256,1.552,0.731,,
3512,2.582,0.599,1.685,1.117
1250,,0.478,2.642,1.039
5241,2.983,0.68,1.582,
4298,0.835,,1.444,0.385
3284,1.505,0.507,1.794,1.274
2933,1.275,,1.542,0.913
4175,0.774,0.76,,0.766
1852,0.807,,1.692,
5104,1.564,0.75,1.626,0.693
5308,1.626,1.477,1.69,2.074
2105,1.012,0.732,2.932,5.0
133,1.593,0.765,1.351,0.625
928,0.908,0.583,1.716,1.202
823,,0.794,1.325,2.486
4958,0.784,0.487,1.797,1.156
1531,0.857,0.492,2.568,
1214,0.829,0.914,1.99,1.425
504,1.075,0.584,1.69,1.697
4285,0.83,0.411,1.462,0.429
1996,0.808,0.499,1.751,
3072,1.026,0.726,2.947,1.7
1958,1.322,,1.545,0.85
1384,1.381,0.462,1.826,0.824
894,1.305,0.742,1.367,0.806
455,1.675,,1.999,1.111
5340,1.191,2.415,1.281,2.253
3709,0.783,0.574,,1.206
5035,1.427,0.509,1.789,1.352
4849,0.875,0.779,2.822,1.571
4748,1.12,0.464,1.776,1.061
4268,0.846,0.433,1.496,1.416
3522,2.397,0.537,,
4134,1.103,0.619,1.658,0.68
3602,1.047,0.883,,3.454
713,2.505,0.593,1.646,0.927
4186,0.784,0.768,1.605,0.728
2214,1.144,0.561,2.823,0.751
2923,1.3,,1.493,0.888
1810,1.326,0.722,1.918,0.792
3486,3.067,0.765,,0.636
3141,0.774,0.366,2.724,0.901
1827,0.862,0.629,1.757,1.109
1155,1.476,0.698,1.852,0.984
1324,,0.431,1.916,
4312,3.329,0.817,1.449,0.382
510,0.959,0.623,1.601,0.71
1680,1.988,1.395,2.002,1.195
499,1.168,0.553,1.726,1.052
4951,0.867,0.506,,1.0
1856,0.808,0.534,1.694,1.296
1388,,0.472,1.814,0.86
3719,0.779,0.555,2.4,
2386,0.78,0.748,1.578,0.705
3236,0.803,,1.849,1.064
1540,0.851,0.471,1.415,0.532
1217,0.831,0.912,2.01,1.414
2681,1.191,1.177,1.295,2.401
2993,1.11,0.474,1.757,1.114
1191,,0.9,1.917,5.0
1542,0.854,0.468,1.441,0.515
3301,1.206,0.601,1.676,1.054
3324,0.776,0.748,1.5,2.047
2539,2.727,0.653,1.63,0.962
953,0.897,0.557,1.741,5.0
4846,0.93,0.785,2.852,1.471
4330,3.031,0.683,1.576,0.676
732,2.41,0.518,1.781,1.282
1156,1.451,0.705,,1.421
5055,1.073,0.628,1.652,0.695
3294,1.336,0.558,,0.646
2982,0.834,,1.942,1.377
2156,1.817,0.342,2.643,0.825
1062,0.692,0.516,3.176,1.263
2616,1.629,1.411,,
1167,0.804,0.779,2.026,1.936
3222,1.995,0.553,2.723,0.873
3636,0.807,,1.245,3.668
2938,,0.597,1.531,0.977
4491,0.78,0.845,1.271,2.671
3140,,0.364,2.815,0.865
143,0.932,0.745,1.373,0.675
3577,1.358,2.689,1.56,2.181
2782,1.206,0.784,1.269,0.899
717,2.696,0.585,,1.001
1819,,,1.556,
2502,3.285,0.838,1.409,0.41
4360,2.752,0.589,1.694,0.957
4171,,0.754,1.507,0.776
395,1.441,0.538,,1.044
5273,2.433,0.52,1.771,
4492,0.775,0.844,1.277,2.661
1365,1.36,0.425,1.698,1.177
5193,0.839,0.451,2.644,0.508
595,0.69,0.498,0.983,
3952,0.768,0.789,2.757,0.967
2914,0.886,0.634,1.486,0.87
2326,1.241,0.516,1.756,0.583
3766,,0.672,1.448,0.687
3440,0.89,0.461,,0.784
3851,1.371,0.496,2.038,
4132,1.141,0.603,1.677,1.658
5006,0.583,0.479,,1.097
2143,0.776,0.732,,0.861
1571,0.752,0.772,1.473,0.553
4079,1.72,,2.592,1.069
1122,1.467,0.474,1.523,0.986
2786,1.153,0.762,1.217,0.955
2967,0.967,0.501,3.176,1.221
2504,3.287,0.832,,0.409
3465,3.287,0.474,,
675,3.335,0.425,,0.367
2808,0.802,,0.872,1.307
3348,0.766,0.743,1.531,0.744
728,2.486,0.54,1.751,1.207
412,2.111,0.576,2.835,0.783
3146,1.799,0.354,2.405,0.851
1516,0.849,0.517,3.169,1.355
825,0.908,0.8,,2.519
3267,1.47,,1.848,
3974,0.912,0.745,2.663,0.89
616,0.508,0.448,2.638,
114,0.789,0.66,2.749,0.732
417,2.014,0.557,2.154,0.858
3069,1.047,0.709,2.964,1.182
1625,2.678,0.551,1.712,
5399,0.816,0.81,1.303,3.627
4185,0.778,0.775,1.578,0.73
2896,1.544,0.715,1.396,0.654
5095,,0.73,,0.712
2082,1.023,0.651,2.275,
753,2.09,0.464,1.911,1.598
2546,2.604,0.6,1.679,1.085
3969,1.772,0.372,2.66,0.892
3373,1.492,0.724,1.571,0.756
4107,1.473,0.482,1.819,1.296
2444,0.868,0.493,,1.37
4380,2.372,,1.838,1.335
1066,0.712,,3.194,1.298
3913,0.603,0.758,,5.0
3498,,0.689,1.582,0.86
2738,0.82,0.944,1.16,2.595
4000,2.62,0.678,2.737,0.975
1568,0.772,0.552,,0.532
2427,0.87,0.519,,1.368
3746,0.873,0.731,1.386,0.541
5059,0.994,0.654,1.62,0.72
1687,1.882,1.382,2.007,1.283
851,0.78,0.808,1.308,3.645
3546,1.77,0.597,1.925,1.681
895,1.292,0.726,1.355,0.819
4592,0.826,0.561,1.693,
335,,0.749,2.128,4.285
2839,0.808,0.571,1.671,
3087,,0.77,2.888,1.575
4611,0.821,0.538,2.438,1.167
1348,1.729,0.418,1.812,1.03
1015,0.824,0.742,1.377,0.737
2816,0.804,0.61,1.624,1.304
1631,2.57,0.521,1.762,1.116
2489,0.896,0.475,1.404,0.431
3730,0.766,0.686,1.368,0.565
3251,1.753,0.489,1.97,1.046
5053,1.112,0.615,1.667,0.682
2070,0.763,,3.019,
4452,1.345,0.982,1.565,2.156
5324,1.382,2.283,1.431,2.295
1635,2.491,0.49,1.797,1.194
4646,,0.796,1.329,0.496
2479,0.855,0.538,,0.439
2265,1.492,0.456,,1.067
2959,0.759,0.506,1.704,1.217
5161,0.573,,,1.377
3059,1.444,0.696,2.977,1.151
2141,0.774,0.736,2.148,0.899
3118,0.784,0.868,2.784,0.949
5154,0.905,0.522,3.202,1.353
4045,1.773,0.491,1.869,1.043
3356,0.77,0.81,1.577,0.718
2744,0.819,0.933,1.173,
3506,2.696,0.643,1.64,1.007
1679,2.002,1.399,2.001,1.68
4249,0.831,0.469,3.246,1.412
3147,1.798,0.352,2.651,0.852
2294,1.565,0.452,,1.192
580,1.2,0.597,3.107,
1470,1.395,0.745,1.453,0.818
4799,0.914,0.669,,
4070,1.724,0.469,2.062,1.067
3343,0.771,0.738,1.519,0.762
4992,1.733,0.483,2.016,1.073
4583,,0.572,1.682,1.286
3672,1.004,0.719,1.746,1.029
559,1.56,0.724,1.613,0.652
2849,0.807,0.564,2.07,0.66
512,0.923,0.638,1.584,
4729,0.852,,1.755,1.36
1081,0.86,0.475,3.211,1.336
1664,2.165,0.376,1.963,
1012,0.873,0.768,1.35,
1931,1.47,0.669,1.445,0.706
1150,1.31,0.647,1.874,0.878
2838,0.808,0.572,1.669,5.0
116,0.787,,2.749,0.696
740,1.889,0.464,,1.431
5240,3.002,,1.574,0.709
3675,1.031,0.708,1.717,
830,0.811,0.817,1.297,2.619
119,0.788,0.717,,0.74
4752,1.114,0.465,1.777,
5212,0.831,0.473,1.448,0.425
5169,0.835,0.496,2.62,1.417
635,0.829,0.416,2.654,1.395
4465,1.181,2.298,,2.368
4364,2.684,0.565,1.721,1.025
4142,,0.687,1.586,
991,0.888,0.69,1.258,0.516
876,1.182,0.752,1.4,0.765
4869,0.789,0.784,,4.316
4,1.687,0.449,2.334,0.429
3051,0.856,0.689,3.005,1.64
3124,,0.76,2.136,5.0
2660,1.407,0.733,1.581,2.112
2491,0.852,0.529,1.408,
3854,1.279,,1.646,1.306
4933,2.182,0.568,2.095,0.727
4777,1.329,0.517,1.672,0.9
1715,1.235,2.165,1.523,2.193
1148,1.329,0.628,2.809,0.703
3261,,0.484,1.911,1.076
574,1.316,,3.084,0.895
3769,0.844,0.661,,0.723
3736,,0.567,,0.531
4146,0.878,0.722,1.552,1.41
853,0.779,0.825,1.315,3.647
1982,0.899,0.52,1.696,
2774,1.224,0.798,1.277,
4929,1.247,,2.134,0.674
1166,0.816,0.769,2.02,1.917
971,0.884,,2.883,0.57
2701,0.981,1.029,,2.264
4495,0.782,0.841,1.28,2.658
3847,1.403,0.49,1.802,0.578
2368,0.774,0.726,1.545,0.723
4115,,,,0.846
4780,1.294,0.531,1.72,0.938
4131,1.156,0.595,1.686,1.641
2950,1.04,0.534,1.651,1.149
524,,,1.525,0.744
2455,0.87,0.476,,1.377
5016,1.617,,1.854,1.169
1841,,0.575,1.724,1.202
